fen,time,move,val
r2qk2r/2p1bppp/p1n1b3/1pn1P3/8/1NPp1N2/PP3PPP/RBBQ1RK1 b kq - 0 1,1,c5b3,0.17
r2qk2r/2p1bppp/p1n1b3/1p2P3/8/1nPp1N2/PP3PPP/RBBQ1RK1 w kq - 0 1,1,a2b3,0.1
r2qk2r/2p1bppp/p1n1b3/1p2P3/8/1PPp1N2/1P3PPP/RBBQ1RK1 b kq - 0 1,1,e6f5,0.17
r2qk2r/2p1bppp/p1n5/1p2Pb2/8/1PPp1N2/1P3PPP/RBBQ1RK1 w kq - 0 1,1,c1e3,0.14
r2qk2r/2p1bppp/p1n5/1p2Pb2/8/1PPp1N2/1P3PPP/RBBQR1K1 b kq - 0 1,1,e8g8,0.16
r2q1rk1/2p1bppp/p1n5/1p2Pb2/8/1PPp1N2/1P3PPP/RBBQR1K1 w - - 0 1,1,c1e3,0.17
r4rk1/2p1bppp/p1n5/1p1qPb2/3B4/1PPp1N2/1P3PPP/RB1QR1K1 b - - 0 1,1,b5b4,0.12
r1bqk2r/pppp1ppp/2B2n2/2b1p3/4P3/3P1N2/PPP2PPP/RNBQK2R b KQkq - 0 1,8,d7c6,-0.01
r1bqk2r/ppp2ppp/2p2n2/2b1p3/4P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 0 1,1,e1g1,-0.01
r1bqk2r/ppp2ppp/2p2n2/2b1p3/4P3/3P1N2/PPPN1PPP/R1BQK2R b KQkq - 0 1,8,e8g8,0.05
r2qk2r/ppp2ppp/2p1bn2/2b1p3/4P3/3P1N2/PPPN1PPP/R1BQK2R w KQkq - 0 1,1,e1g1,0.1
r2qk2r/ppp2ppp/2p1bn2/2b1p3/4P3/3P1N2/PPPN1PPP/R1BQ1RK1 b kq - 0 1,1,d8d6,0.01
rn1qk2r/1p2bppp/p2pbn2/4p1B1/4P3/2N2N2/PPP1BPPP/R2QK2R w KQkq - 0 1,1,g5f6,-0.03
rn1qk2r/1p2bppp/p2pbB2/4p3/4P3/2N2N2/PPP1BPPP/R2QK2R b KQkq - 0 1,1,e7f6,0.0
rn1qk2r/1p3ppp/p2pbb2/4p3/4P3/2N2N2/PPP1BPPP/R2QK2R w KQkq - 0 1,1,a2a4,0.0
r1bq1rk1/ppp2ppp/2n2n2/1Bb1p3/4p3/2PP1N2/PP1N1PPP/R1BQ1RK1 w - - 0 1,1,d3e4,0.11
r1b2rk1/ppp1qppp/2n2n2/1Bb1p3/4P3/2P2N2/PP1N1PPP/R1BQ1RK1 w - - 0 1,1,d1c2,0.07
r2qkb1r/2p2ppp/p1n1b3/1p1pP3/4n3/1B3N2/PPP1QPPP/RNB2RK1 b kq - 0 1,8,f8e7,0.04
r2qk2r/2p1bppp/p1n1b3/1p1pP3/4n3/1B3N2/PPP1QPPP/RNB2RK1 w kq - 0 1,1,c1e3,0.02
r2qkb1r/2p2ppp/p1n1b3/1p1pP3/4n3/1B2BN2/PPP2PPP/RN1Q1RK1 b kq - 0 1,8,f8e7,0.14
r2qk2r/2p1bppp/p1n1b3/1p1pP3/4n3/1B2BN2/PPP2PPP/RN1Q1RK1 w kq - 0 1,1,c2c3,0.15
r2qk2r/2p1bppp/p1n1b3/1p1pP3/4n3/1BP1BN2/PP3PPP/RN1Q1RK1 b kq - 0 1,1,d8d7,0.18
r2q1rk1/2p1bppp/p1n1b3/1p1pP3/4n3/1BP1BN2/PP3PPP/RN1Q1RK1 w - - 0 1,1,b1d2,0.23
rn1qkb1r/pp2nppp/2p1p3/3pPb2/3P4/5N2/PPPNBPPP/R1BQK2R b KQkq - 0 1,8,c6c5,0.1
r1bqn1k1/ppp2ppp/3p4/3N2B1/3b4/8/PPP2PPP/R3QBK1 b - - 0 1,1,f7f6,0.03
r1bqn1k1/ppp3pp/3p1p2/3N2B1/3b4/8/PPP2PPP/R3QBK1 w - - 0 1,1,g5e3,0.05
rnbqk2r/ppp2ppp/3p1n2/2b1p3/2B1P3/2PP1N2/PP3PPP/RNBQK2R b KQkq - 0 1,1,e8g8,0.05
rn1qkb1r/pp2npp1/2p1p2p/3pPb2/3P4/2P2N2/PP2BPPP/RNBQK2R w KQkq - 0 1,8,a2a4,0.31
rn1qkb1r/pp2npp1/2p1p2p/3pPb2/3P4/2P2N2/PP2BPPP/RNBQ1RK1 b kq - 0 1,8,b8d7,0.32
r1bqr1k1/pppp1ppp/2n2n2/1Bb1p3/4P3/2PP1N2/PP3PPP/RNBQ1RK1 w - - 0 1,8,c1g5,0.13
r1bqr1k1/pppp1ppp/2n2n2/1Bb1p1B1/4P3/2PP1N2/PP3PPP/RN1Q1RK1 b - - 0 1,1,a7a6,0.14
r1b1kbnr/pp2qppp/2n5/1Bpp4/3P4/5N2/PPPN1PPP/R1BQK2R w KQkq - 0 1,1,b5e2,0.1
r1b1kbnr/pp2qppp/2n5/2pp4/3P4/5N2/PPPNBPPP/R1BQK2R b KQkq - 0 1,1,e7c7,0.13
r1b1kbnr/ppq2ppp/2n5/2pp4/3P4/5N2/PPPNBPPP/R1BQK2R w KQkq - 0 1,1,e1g1,0.15
r1b1kbnr/ppq2ppp/2n5/2pp4/3P4/5N2/PPPNBPPP/R1BQ1RK1 b kq - 0 1,1,g8f6,0.15
r1b1kb1r/ppq2ppp/2n2n2/2pp4/3P4/5N2/PPPNBPPP/R1BQ1RK1 w kq - 0 1,1,f1e1,0.1
r1b1kb1r/ppq2ppp/2n2n2/2pp4/3P4/5N2/PPPNBPPP/R1BQR1K1 b kq - 0 1,1,c5d4,0.16
rnbqkb1r/pppp1ppp/8/4P3/4n3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 1,8,d7d5,0.13
rnbqkb1r/ppp2ppp/8/3pP3/4n3/5N2/PPP2PPP/RNBQKB1R w KQkq d6 0 1,1,b1d2,0.16
rnbqkb1r/ppp2ppp/8/3pP3/4n3/5N2/PPPN1PPP/R1BQKB1R b KQkq - 0 1,1,e4c5,0.17
rnbqkb1r/ppp2ppp/8/3pP3/8/5N2/PPPn1PPP/R1BQKB1R w KQkq - 0 1,1,c1d2,0.14
rnbqkb1r/ppp2ppp/8/3pP3/8/5N2/PPPB1PPP/R2QKB1R b KQkq - 0 1,1,c7c5,0.13
rn1qkbnr/pp2ppp1/2p5/3pPbBp/3P3P/8/PPP2PP1/RN1QKBNR b KQkq - 0 1,1,d8b6,-0.15
rn2kbnr/pp2ppp1/1qp5/3pPbBp/3P3P/8/PPP2PP1/RN1QKBNR w KQkq - 0 1,1,f1d3,-0.07
rn2kbnr/pp2ppp1/1qp5/3pPbBp/3P3P/3B4/PPP2PP1/RN1QK1NR b KQkq - 0 1,1,b6d4,-0.02
r1bqk2r/pppn1ppp/2p5/2b1p3/4P3/3P1N2/PPP2PPP/RNBQ1RK1 w kq - 0 1,1,b1d2,0.02
r1bqk2r/pppn1ppp/2p5/2b1p3/4P3/2PP1N2/PP3PPP/RNBQ1RK1 b kq - 0 1,1,e8g8,0.04
r1bq1rk1/pppn1ppp/2p5/2b1p3/4P3/2PP1N2/PP3PPP/RNBQ1RK1 w - - 0 1,1,d3d4,-0.01
r1bq1rk1/pppn1ppp/2p5/2b1p3/3PP3/2P2N2/PP3PPP/RNBQ1RK1 b - - 0 1,1,c5d6,0.0
r1bq1rk1/pppn1ppp/2pb4/4p3/3PP3/2P2N2/PP3PPP/RNBQ1RK1 w - - 0 1,1,c1g5,0.02
r1bq1rk1/pppn1ppp/2pb4/4p1B1/3PP3/2P2N2/PP3PPP/RN1Q1RK1 b - - 0 1,1,f7f6,0.05
rn1qkbnr/pp3pp1/2p1p2p/3pPb2/3P4/5N2/PPP1BPPP/RNBQK2R w KQkq - 0 1,8,e1g1,0.29
rn1qkbnr/pp3pp1/2p1p2p/3pPb2/3P4/5N2/PPP1BPPP/RNBQ1RK1 b kq - 0 1,8,a7a6,0.32
r1bqk2r/ppp2ppp/2p2n2/2b1p3/4P3/3P1N1P/PPP2PP1/RNBQK2R b KQkq - 0 1,1,f6d7,-0.01
rn2kbnr/pp3pp1/1qp1p3/3pP1Bp/3P3P/3Q4/PPP2PP1/RN2K1NR w KQkq - 0 1,1,b1d2,0.33
rn2kbnr/pp3pp1/1qp1p3/3pP1Bp/3P3P/3Q4/PPPN1PP1/R3K1NR b KQkq - 0 1,1,c6c5,0.34
1rbqk2r/2pp1ppp/p1n2n2/1Pb1p3/4P3/1B3N2/1PPP1PPP/RNBQ1RK1 b k - 0 1,8,a6b5,0.22
1rbqk2r/2pp1ppp/2n2n2/1pb1p3/4P3/1B3N2/1PPP1PPP/RNBQ1RK1 w k - 0 1,1,c2c3,0.21
1rbqk2r/2pp1ppp/2n2n2/1pb1N3/4P3/1B6/1PPP1PPP/RNBQ1RK1 b k - 0 1,1,c6e5,0.11
1rbqk2r/2pp1ppp/5n2/1pb1n3/4P3/1B6/1PPP1PPP/RNBQ1RK1 w k - 0 1,1,d2d4,0.09
1rbqk2r/2pp1ppp/5n2/1pb1n3/3PP3/1B6/1PP2PPP/RNBQ1RK1 b k - 0 1,1,c5d4,0.08
1rbqk2r/2pp1ppp/5n2/1p2n3/3bP3/1B6/1PP2PPP/RNBQ1RK1 w k - 0 1,1,d1d4,0.09
1rbqk2r/2pp1ppp/5n2/1p2n3/3QP3/1B6/1PP2PPP/RNB2RK1 b k - 0 1,1,d7d6,0.09
1rbqk2r/2p2ppp/3p1n2/1p2n3/3QP3/1B6/1PP2PPP/RNB2RK1 w k - 0 1,1,f2f4,0.08
1rbqk2r/2p2ppp/3p1n2/1p2n3/3QPP2/1B6/1PP3PP/RNB2RK1 b k - 0 1,1,e5c6,0.09
1rbqk2r/2p2ppp/2np1n2/1p6/3QPP2/1B6/1PP3PP/RNB2RK1 w k - 0 1,1,d4c3,0.08
1rbqk2r/2p2ppp/2np1n2/1p6/4PP2/1BQ5/1PP3PP/RNB2RK1 b k - 0 1,1,c6e7,0.05
1rbqk2r/2p1nppp/3p1n2/1p6/4PP2/1BQ5/1PP3PP/RNB2RK1 w k - 0 1,1,e4e5,0.07
r1bq1rk1/ppp2ppp/2np1n2/1Bb1p3/4P3/2PP1N2/PP3PPP/RNBQR1K1 b - - 0 1,1,f6g4,0.1
r1bq1rk1/ppp1nppp/1b1p1n2/1B2p3/3PP3/2P2N1P/PP3PP1/RNBQR1K1 b - - 0 1,1,e7g6,0.07
r1bq1rk1/ppp2ppp/1b1p1nn1/1B2p3/3PP3/2P2N1P/PP3PP1/RNBQR1K1 w - - 0 1,1,b5d3,0.18
r1bq1rk1/1pp1bppp/p1np1n2/1B2p3/4P3/2PP1N2/PP3PPP/RNBQR1K1 w - - 0 1,1,b5a4,0.2
rnbqkbnr/pp2pppp/8/2pp4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 1,8,c4d5,0.36
rnbqkbnr/pp2pppp/8/2pP4/3P4/8/PP2PPPP/RNBQKBNR b KQkq - 0 1,1,d8d5,0.37
r1bqk2r/2p2ppp/pbnp1n2/1p2p3/3PP3/1BP1BN2/PP3PPP/RN1Q1RK1 b kq - 0 1,1,e8g8,0.22
r1bq1rk1/2p2ppp/pbnp1n2/1p2p3/3PP3/1BP1BN2/PP3PPP/RN1Q1RK1 w - - 0 1,1,b1d2,0.16
r1bq1rk1/2p2ppp/pbnp1n2/1p2p3/3PP3/1BP1BN2/PP1N1PPP/R2Q1RK1 b - - 0 1,1,f8e8,0.1
r1bqkbnr/pp2pp1p/2np2p1/8/4P3/4QN2/PPP2PPP/RNB1KB1R w KQkq - 0 1,1,f1e2,0.1
rnbqkbnr/ppp2ppp/8/3pp3/2P5/6P1/PP1PPPBP/RNBQK1NR b KQkq - 0 1,1,d5d4,-0.29
r2qkbnr/pp1n1pp1/2p1p3/3pPb1p/2PP3P/2N5/PP3PP1/R1BQKBNR w KQkq - 0 1,1,c4d5,0.47
r1bqkbnr/pppp1ppp/2n5/4p3/2P5/3P4/PP2PPPP/RNBQKBNR w KQkq - 0 1,1,a2a3,0.07
r1bq1rk1/pppp1ppp/5b2/5n2/3P4/8/PPP2PPP/RNBQRBK1 w - - 0 1,1,c2c3,0.2
r1bq1rk1/pppp1ppp/5b2/5n2/3P4/2P5/PP3PPP/RNBQRBK1 b - - 0 1,1,d7d5,0.16
r1bq1rk1/ppp2ppp/5b2/3p1n2/3P4/2P5/PP3PPP/RNBQRBK1 w - - 0 1,1,a2a4,0.16
r1bq1rk1/ppp2ppp/5b2/3p1n2/3P1B2/2P5/PP3PPP/RN1QRBK1 b - - 0 1,1,a7a5,0.14
rn1qkbnr/1p2pppp/p1p5/3pPb2/3P3P/8/PPP2PP1/RNBQKBNR w KQkq - 0 1,1,h4h5,0.5
r3kbnr/ppqn1ppp/2p1p3/3pPb2/3P4/1N3N2/PPP2PPP/R1BQKB1R w KQkq - 0 1,1,c2c3,0.13
r3kbnr/ppqn1ppp/2p1p3/3pPb2/3P4/1N3N2/PPP1BPPP/R1BQK2R b KQkq - 0 1,1,c6c5,0.23
r1bqkb1r/pppn1ppp/8/3pN3/3Pn3/2NB4/PPP2PPP/R1BQK2R b KQkq - 0 1,8,d7e5,0.21
r1bqkb1r/pppn1ppp/8/3pN3/3P4/2nB4/PPP2PPP/R1BQK2R w KQkq - 0 1,8,b2c3,0.14
r1bqkb1r/pppn1ppp/8/3pN3/3P4/2PB4/P1P2PPP/R1BQK2R b KQkq - 0 1,1,d7e5,0.23
r1b1k2r/ppp1bppp/2p5/4Pn2/8/2N2N2/PPP2PPP/R1BR2K1 w - - 0 1,1,c1g5,0.06
r1bqk2r/pppp1ppp/2n2n2/2b1p3/B3P3/3P1N2/PPP2PPP/RNBQK2R b KQkq - 0 1,8,a7a6,0.08
r1bq1rk1/pppp1ppp/2n2n2/2b1p3/B3P3/3P1N2/PPP2PPP/RNBQK2R w KQ - 0 1,1,e1g1,0.11
r1bq1rk1/pppp1ppp/2n2n2/2b1p3/B3P3/3P1N2/PPP2PPP/RNBQ1RK1 b - - 0 1,1,d7d6,0.05
r1bq1rk1/ppp2ppp/2np1n2/2b1p3/B3P3/2PP1N2/PP3PPP/RNBQ1RK1 b - - 0 1,1,c6e7,0.05
r1bqk2r/pppp1ppp/2n2n2/1Bb1p3/4P3/3P1N2/PPPN1PPP/R1BQK2R b KQkq - 0 1,8,e8g8,0.05
rn1qkb1r/pp2nppp/4p3/3pPb2/2PN4/4B3/PP2BPPP/RN1QK2R b KQkq - 0 1,8,b8c6,0.32
r1bqk2r/pppn1ppp/2p5/2b1p3/4P3/3P1N2/PPPN1PPP/R1BQK2R w KQkq - 0 1,1,e1g1,0.03
r1bqk2r/pppn1ppp/2p5/2b1p3/2N1P3/3P1N2/PPP2PPP/R1BQK2R b KQkq - 0 1,1,f7f6,0.01
r1bqk2r/pppn2pp/2p2p2/2b1p3/2N1P3/3P1N2/PPP2PPP/R1BQK2R w KQkq - 0 1,1,c2c3,0.0
r1bqk2r/pppnppbp/3p1np1/8/2PPP3/2N1B2P/PP3PP1/R2QKBNR b KQkq - 0 1,1,e7e5,0.34
r1bqk2r/pppn1pbp/3p1np1/4p3/2PPP3/2N1B2P/PP3PP1/R2QKBNR w KQkq - 0 1,1,g1f3,0.34
rnbqkbnr/pp1p1ppp/2p5/4p3/2P5/5NP1/PP1PPP1P/RNBQKB1R b KQkq - 0 1,1,e5e4,0.05
rnbqkbnr/pp1p1ppp/2p5/8/2P1p3/5NP1/PP1PPP1P/RNBQKB1R w KQkq - 0 1,1,f3d4,0.09
rnbqkbnr/pp1p1ppp/2p5/8/2PNp3/6P1/PP1PPP1P/RNBQKB1R b KQkq - 0 1,1,g8f6,0.14
rnbqkbnr/pp3ppp/2p5/3p4/2PNp3/6P1/PP1PPP1P/RNBQKB1R w KQkq - 0 1,1,c4d5,0.07
rnbqkbnr/pp3ppp/2p5/3P4/3Np3/6P1/PP1PPP1P/RNBQKB1R b KQkq - 0 1,1,d8d5,0.08
rnb1kbnr/pp3ppp/2p5/3q4/3Np3/6P1/PP1PPP1P/RNBQKB1R w KQkq - 0 1,1,d4c2,0.11
rnb1kbnr/pp3ppp/2p5/3q4/4p3/6P1/PPNPPP1P/RNBQKB1R b KQkq - 0 1,1,g8f6,0.06
rnb1kb1r/pp3ppp/2p2n2/3q4/4p3/6P1/PPNPPP1P/RNBQKB1R w KQkq - 0 1,1,b1c3,0.06
rnb1kb1r/pp3ppp/2p2n2/3q4/4p3/2N3P1/PPNPPP1P/R1BQKB1R b KQkq - 0 1,1,d5e5,0.11
r2q1rk1/pppb2pp/3b4/3p1p1Q/3P4/2PB4/P1P2PPP/R1B1R1K1 b - - 0 1,8,c7c6,0.15
rn2kbnr/pp3ppp/1q2p3/2ppPb2/3P4/4BN2/PPP1BPPP/RN1QK2R w KQkq - 0 1,8,b1c3,0.48
rn2kbnr/pp3ppp/1q2p3/2ppPb2/3P4/2N1BN2/PPP1BPPP/R2QK2R b KQkq - 0 1,8,c5c4,0.49
r3kbnr/pp3ppp/1qn1p3/2ppPb2/3P4/2N1BN2/PPP1BPPP/R2QK2R w KQkq - 0 1,8,e1g1,0.31
r3kbnr/pp3ppp/2n1p3/2ppPb2/3P4/2N1BN2/PqP1BPPP/R3QRK1 b kq - 0 1,8,c5d4,0.36
r3kbnr/pp3ppp/2n1p3/3pPb2/3p4/2N1BN2/PqP1BPPP/R3QRK1 w kq - 0 1,8,e3d4,0.73
r3kbnr/pp3ppp/2n1p3/3pPb2/3B4/2N2N2/PqP1BPPP/R3QRK1 b kq - 0 1,8,c6d4,0.31
r3kbnr/pp3ppp/4p3/3pPb2/3n4/2N2N2/PqP1BPPP/R3QRK1 w kq - 0 1,8,f3d4,0.25
r3kbnr/pp3ppp/4p3/3pPb2/3N4/2N5/PqP1BPPP/R3QRK1 b kq - 0 1,8,f8b4,0.29
r3k1nr/pp3ppp/4p3/3pPb2/1b1N4/2N5/PqP1BPPP/R3QRK1 w kq - 0 1,8,a1b1,0.26
rnbq1rk1/ppp1bppp/8/2npP3/8/4BN2/PPP1BPPP/RN1Q1RK1 b - - 0 1,1,c7c6,0.04
rnbq1rk1/pp2bppp/2p5/2npP3/8/4BN2/PPP1BPPP/RN1Q1RK1 w - - 0 1,1,c2c4,0.0
r1bq1rk1/ppp2pbp/2np1np1/1B2p3/4P3/2PP1N2/PP3PPP/RNBQR1K1 w - - 0 1,1,h2h3,0.16
r1bq1rk1/ppp2pbp/2np1np1/1B2p3/4P3/2PP1N2/PP1N1PPP/R1BQR1K1 b - - 0 1,1,a7a6,0.14
r1bqkb1r/pppp1ppp/2nn4/4p3/B2P4/5N2/PPP2PPP/RNBQ1RK1 b kq - 0 1,1,e5d4,-0.08
r1bq1rk1/pp3ppp/2p2b2/3p1n2/3P1B2/2P5/PP3PPP/RN1QRBK1 w - - 0 1,1,b1d2,0.1
r1bqk2r/pppn1ppp/2p5/2b1p3/4P3/3P1N2/PPPN1PPP/R1BQ1RK1 b kq - 0 1,1,e8g8,0.03
r1bq1rk1/pppn1ppp/2p5/2b1p3/4P3/3P1N2/PPPN1PPP/R1BQ1RK1 w - - 0 1,1,d2c4,-0.02
r1bq1rk1/pppn1ppp/2p5/2b1p3/2N1P3/3P1N2/PPP2PPP/R1BQ1RK1 b - - 0 1,1,f8e8,0.01
r1bqr1k1/pppn1ppp/2p5/2b1p3/2N1P3/3P1N2/PPP2PPP/R1BQ1RK1 w - - 0 1,1,c1d2,0.04
r1bqn1k1/ppp2ppp/5b2/3p4/3P1B2/2P5/PP1N1PPP/R3QBK1 b - - 0 1,1,c8f5,0.09
r1bqkb1r/pppp1ppp/2n2n2/1B6/3pP3/5N2/PPP2PPP/RNBQ1RK1 b kq - 0 1,1,a7a6,-0.09
r1bk1b1r/ppp2ppp/2p5/4Pn2/8/5N1P/PPP2PP1/RNB2RK1 b - - 0 1,8,f8e7,0.11
r1bk3r/ppp1bppp/2p5/4Pn2/8/5N1P/PPP2PP1/RNB2RK1 w - - 0 1,8,f1d1,0.12
r1bk3r/ppp1bppp/2p5/4Pn2/8/2N2N1P/PPP2PP1/R1B2RK1 b - - 0 1,1,f5h4,0.03
r1bk3r/ppp1bppp/2p5/4P3/7n/2N2N1P/PPP2PP1/R1B2RK1 w - - 0 1,1,f3h4,0.03
r1bk3r/ppp1bppp/2p5/4P3/7N/2N4P/PPP2PP1/R1B2RK1 b - - 0 1,1,e7h4,0.02
r1bk3r/ppp2ppp/2p5/4P3/7b/2N4P/PPP2PP1/R1B2RK1 w - - 0 1,1,f1d1,0.1
rn1qkbnr/pp1bpppp/2p5/3pP3/3P2P1/8/PPP2P1P/RNBQKBNR w KQkq - 0 1,1,c1e3,0.16
r1bq2k1/ppp2pnp/5bp1/3p4/3P1B2/2PB1N2/PP3PPP/R3Q1K1 b - - 0 1,1,c8f5,0.05
rnbqkb1r/pppp1ppp/5n2/4p3/2P5/3P4/PP2PPPP/RNBQKBNR w KQkq - 0 1,1,g1f3,-0.04
rnbqkb1r/pppp1ppp/5n2/4p3/2P5/3P1N2/PP2PPPP/RNBQKB1R b KQkq - 0 1,1,b8c6,-0.05
r1bqkb1r/pppp1ppp/2n2n2/4p3/2P5/3P1N2/PP2PPPP/RNBQKB1R w KQkq - 0 1,1,b1c3,-0.03
r1bqkb1r/pppp1ppp/2n5/4N3/3Pn3/3B4/PPP2PPP/RNBQK2R b KQkq - 0 1,8,c6e5,0.21
r1bqkb1r/pppp1ppp/8/4n3/3Pn3/3B4/PPP2PPP/RNBQK2R w KQkq - 0 1,8,d4e5,0.2
r1bqkb1r/pppp1ppp/8/4P3/4n3/3B4/PPP2PPP/RNBQK2R b KQkq - 0 1,8,e4c5,0.22
r1bqkb1r/pppp1ppp/8/2n1P3/8/3B4/PPP2PPP/RNBQK2R w KQkq - 0 1,8,d3c4,0.19
r1bq1rk1/pppp1ppp/3n1b2/4R3/8/2N5/PPPP1PPP/R1BQ1BK1 w - - 0 1,1,e5e1,0.07
r1bq1rk1/pppp1ppp/3n1b2/8/8/2N5/PPPP1PPP/R1BQRBK1 b - - 0 1,1,f8e8,0.06
r1bqr1k1/pppp1ppp/3n1b2/8/8/2N5/PPPP1PPP/R1BQRBK1 w - - 0 1,1,c3d5,0.03
r1bqr1k1/pppp1ppp/3n1b2/3N4/8/8/PPPP1PPP/R1BQRBK1 b - - 0 1,1,e8e1,0.09
r1bq2k1/pppp1ppp/3n1b2/3N4/8/8/PPPP1PPP/R1BQrBK1 w - - 0 1,1,d5f6,0.08
r1bq1rk1/1pp2ppp/p1Bp1n2/2b1p3/4P3/2PP1N2/PP1N1PPP/R1BQ1RK1 b - - 0 1,1,b7c6,0.05
r1bq1rk1/2p2ppp/p1pp1n2/2b1p3/4P3/2PP1N2/PP1N1PPP/R1BQ1RK1 w - - 0 1,1,d3d4,0.09
rnbqkbnr/pp1ppppp/8/8/3QP3/8/PPP2PPP/RNB1KBNR b KQkq - 0 1,1,b8c6,-0.02
r1bqkbnr/pp1ppppp/2n5/8/3QP3/8/PPP2PPP/RNB1KBNR w KQkq - 0 1,1,d4d3,-0.01
r1bqkbnr/pp1ppppp/2n5/8/4P3/3Q4/PPP2PPP/RNB1KBNR b KQkq - 0 1,1,g8f6,0.03
rnbqkb1r/pp2pppp/5n2/2pp4/8/1P2P3/PBPP1PPP/RN1QKBNR w KQkq - 0 1,1,g1f3,0.12
rn1qkbnr/ppp1pppp/8/3p4/6b1/1P5P/PBPPPPP1/RN1QKBNR b KQkq - 0 1,1,g4h5,-0.03
rn1qkbnr/ppp1pppp/8/3p3b/8/1P5P/PBPPPPP1/RN1QKBNR w KQkq - 0 1,1,g1f3,-0.02
rn1qkbnr/ppp1pppp/8/3p4/8/1P3b2/PBPPPPPP/RN1QKB1R w KQkq - 0 1,1,e2f3,0.09
rn1qkbnr/ppp1pppp/8/3p4/6b1/1P3N2/P1PPPPPP/RNBQKB1R w KQkq - 0 1,1,c1b2,0.01
rn1qkbnr/ppp1pppp/8/3p4/6b1/1P2PN2/P1PP1PPP/RNBQKB1R b KQkq - 0 1,1,e7e6,-0.03
r2qkbnr/pppnpppp/8/3p4/6b1/1P2PN2/P1PP1PPP/RNBQKB1R w KQkq - 0 1,1,c2c4,-0.05
rnbqkbnr/pppp1ppp/8/4p3/2P5/1P6/P2PPPPP/RNBQKBNR b KQkq - 0 1,1,g8f6,-0.16
r2qkbnr/pppn1ppp/4p3/3p4/6b1/1P2PN2/PBPP1PPP/RN1QKB1R w KQkq - 0 1,1,f1e2,-0.04
rnbqkbnr/pppp1ppp/8/8/2P1p3/5N2/PP1PPPPP/RNBQKB1R w KQkq - 0 1,1,f3d4,-0.1
rnbqkbnr/pppp1ppp/8/8/2PNp3/8/PP1PPPPP/RNBQKB1R b KQkq - 0 1,1,b8c6,-0.01
r1bqkbnr/pppp1ppp/2n5/8/2PNp3/8/PP1PPPPP/RNBQKB1R w KQkq - 0 1,1,e2e3,-0.07
rnbqkbnr/pp1p1ppp/2p5/8/2PPp3/6P1/PP2PP1P/RNBQKBNR w KQkq - 0 1,1,d4d5,0.08
rnbqkbnr/pp1p1ppp/2p5/8/2PPp3/2N3P1/PP2PP1P/R1BQKBNR b KQkq - 0 1,1,f8b4,-0.09
rnbqkbnr/pp1p1ppp/2p5/8/2Pp4/6P1/PP2PP1P/RNBQKBNR w KQkq - 0 1,1,d1d4,0.17
rnbqkbnr/pp1p1ppp/2p5/8/2PQ4/6P1/PP2PP1P/RNB1KBNR b KQkq - 0 1,1,b8a6,0.11
r1bqkbnr/pppp2pp/2n5/4pp2/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq - 0 1,1,b1c3,0.3
r1bqkb1r/ppp2ppp/2n2n2/3pp3/2P5/P2P1N2/1P2PPPP/RNBQKB1R w KQkq - 0 1,1,c4d5,-0.09
r1bqkb1r/ppp2ppp/2n2n2/3Pp3/8/P2P1N2/1P2PPPP/RNBQKB1R b KQkq - 0 1,1,f6d5,-0.06
r1bqkb1r/ppp2ppp/2n5/3np3/8/P2P1N2/1P2PPPP/RNBQKB1R w KQkq - 0 1,1,e2e4,-0.09
rnb1kb1r/pp3ppp/2p2n2/4q3/4p3/2N3P1/PPNPPP1P/R1BQKB1R w KQkq - 0 1,1,f1g2,0.11
r1b1kb1r/pp3ppp/n1p2n2/4q3/4p3/2N3P1/PPNPPPBP/R1BQK2R w KQkq - 0 1,1,a1b1,0.1
rnbqkbnr/pppp1p1p/6p1/4p3/2P5/6P1/PP1PPP1P/RNBQKBNR w KQkq - 0 1,1,d2d4,0.27
rnbqkbnr/pppp1p1p/6p1/4p3/2P5/6P1/PP1PPPBP/RNBQK1NR b KQkq - 0 1,1,f8g7,0.13
rnbqk1nr/pppp1pbp/6p1/4p3/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq - 0 1,1,b1c3,0.1
rnbqk1nr/pppp2bp/6p1/4pp2/2P5/2N3P1/PP1PPPBP/R1BQK1NR w KQkq - 0 1,1,b2b4,0.26
rnbqk2r/ppppnpbp/6p1/4p3/2P5/2N3P1/PP1PPPBP/R1BQK1NR w KQkq - 0 1,1,d2d3,0.2
rnbqk2r/pp3pp1/3p1n1p/2pPp3/2P4B/2P1PP2/P5PP/R2QKBNR b KQkq - 0 1,1,e5e4,-0.23
rn1q1rk1/pp2ppbp/4bnp1/2Pp4/2P2B2/2N1P3/PP3PPP/2RQKBNR w K - 0 1,1,g1f3,0.07
r2q1rk1/pp2ppbp/2n1bnp1/2Pp4/2P2B2/2N1PN2/PP3PPP/2RQKB1R w K - 0 1,1,f1e2,0.01
rn1qkbnr/pp3ppp/4p1b1/2ppP3/3P2P1/2N5/PPP1NP1P/R1BQKB1R w KQkq - 0 1,1,c1e3,-0.04
